wl	n
2.590950	3.329
2.592606	3.326
2.594262	3.323
2.595918	3.321
2.597574	3.318
2.599230	3.315
2.600885	3.313
2.602541	3.310
2.604197	3.307
2.605853	3.305
2.607509	3.302
2.609165	3.300
2.610820	3.297
2.612476	3.294
2.614132	3.292
2.615788	3.289
2.617444	3.287
2.619100	3.284
2.620755	3.281
2.622411	3.279
2.624067	3.276
2.625723	3.274
2.627379	3.271
2.629035	3.269
2.630690	3.266
2.632346	3.264
2.634002	3.261
2.635658	3.259
2.637314	3.256
2.638969	3.254
2.640625	3.251
2.642281	3.249
2.643937	3.246
2.645593	3.244
2.647249	3.241
2.648904	3.239
2.650560	3.236
2.652216	3.234
2.653872	3.231
2.655528	3.229
2.657184	3.227
2.658839	3.224
2.660495	3.222
2.662151	3.219
2.663807	3.217
2.665463	3.214
2.667119	3.212
2.668774	3.210
2.670430	3.207
2.672086	3.205
2.673742	3.203
2.675398	3.200
2.677054	3.198
2.678709	3.196
2.680365	3.193
2.682021	3.191
2.683677	3.189
2.685333	3.186
2.686988	3.184
2.688644	3.182
2.690300	3.179
2.691956	3.177
2.693612	3.175
2.695268	3.172
2.696923	3.170
2.698579	3.168
2.700235	3.166
2.701891	3.163
2.703547	3.161
2.705203	3.159
2.706858	3.157
2.708514	3.154
2.710170	3.152
2.711826	3.150
2.713482	3.148
2.715138	3.146
2.716793	3.143
2.718449	3.141
2.720105	3.139
2.721761	3.137
2.723417	3.135
2.725073	3.132
2.726728	3.130
2.728384	3.128
2.730040	3.126
2.731696	3.124
2.733352	3.122
2.735008	3.120
2.736663	3.117
2.738319	3.115
2.739975	3.113
2.741631	3.111
2.743287	3.109
2.744942	3.107
2.746598	3.105
2.748254	3.103
2.749910	3.101
2.751566	3.099
2.753222	3.097
2.754877	3.094
2.756533	3.092
